,item,type,tax_year,total,< $5k,$5k - 10k,$10k - 15k,$15k - 20k,$20k - 25k,$25k - 30k,$30k - 35k,$35k - 40k,$40k - 45k,$45k - 50k,$50k - 55k,$55k - 60k,$60k - 70k,$70k - 80k,$80k - 90k,$90k - 100k,$100k - 150k,$150k - 250k,> $250k
493,Other payments deductions,$,2010,24174478000,385487000,3233344000,7715499000,5762303000,1977580000,1084750000,815897000,671434000,540267000,443834000,320195000,243746000,332918000,194363000,123566000,79636000,154909000,65454000,29296000
494,Limited partnership losses of other years,$,2010,18417000,0,0,0,26000,22000,50000,56000,127000,206000,165000,168000,189000,371000,299000,562000,407000,1396000,1585000,12288000
495,Non-capital losses of other years,$,2010,332026000,10108000,5183000,9973000,17326000,21462000,20506000,18898000,17109000,14771000,11931000,10982000,9411000,15070000,12903000,8845000,7133000,23813000,21147000,75456000
496,Net capital losses of other years,$,2010,1809499000,2496000,4894000,8679000,17170000,24842000,30512000,37048000,40853000,45920000,48823000,48166000,48415000,97438000,90212000,81651000,72381000,261280000,255277000,593442000
497,Capital gains deduction,$,2010,3623944000,2416000,719000,1817000,3802000,6174000,11160000,14243000,18928000,26095000,29974000,31125000,35881000,101643000,90902000,94991000,87907000,398174000,669202000,1998790000
498,Northern residents deductions,$,2010,853077000,1246000,4828000,15804000,31707000,36495000,39152000,40257000,39744000,39350000,38258000,38138000,37662000,72773000,68456000,63635000,57821000,152370000,65186000,10195000
499,Additional deductions,$,2010,1237451000,19362000,37344000,99021000,184939000,107126000,83508000,77647000,65836000,56269000,49128000,31476000,26358000,42600000,35120000,25685000,21527000,85429000,84683000,104394000
500,Farming/fishing losses of prior years,$,2010,123805000,4005000,1095000,1879000,3860000,5712000,7034000,6937000,6648000,5840000,5637000,5667000,4664000,7766000,6635000,5296000,5204000,13498000,10992000,15436000
501,Total deductions from net income,$,2010,34935938000,425873000,3287633000,7853121000,6021504000,2180082000,1277919000,1012795000,863819000,735130000,644080000,501369000,451361000,747039000,553672000,440639000,360061000,1195803000,1332748000,5051291000
502,Taxable income assessed,$,2010,953487250000,3762970000,12036579000,23798239000,37006682000,39887994000,42076232000,48044916000,51773690000,53335720000,49248769000,46207964000,42958813000,77769990000,66737994000,55196884000,42880709000,103629863000,60280857000,96852386000
503,Basic personal amount,$,2010,268158724000,27298029000,20947434000,26641727000,26016340000,20077907000,17077631000,16498481000,15501715000,14179193000,11845178000,10113140000,8630223000,13885606000,10378083000,7606922000,5327207000,10299737000,3840701000,1993471000
504,Age amount,$,2010,27299372000,695196000,1253322000,3992357000,6764506000,3845905000,2634019000,2333501000,1763348000,1396296000,881501000,600995000,411660000,467317000,159526000,53253000,21149000,18613000,4761000,2148000
505,Spouse or common-law partner amount,$,2010,14570561000,1062612000,784308000,1175895000,1331073000,1224999000,965776000,860979000,780343000,680404000,598939000,532721000,474471000,817445000,682496000,551817000,423605000,968940000,422578000,231161000
506,Amount for eligible dependant,$,2010,9592366000,723729000,841810000,1193693000,1013807000,843540000,713236000,656850000,601494000,503795000,413324000,340904000,281483000,431367000,321712000,229973000,147835000,234774000,70225000,28817000
507,Amount for children 17 and under,$,2010,13608082000,709776000,551108000,804916000,814348000,791309000,755089000,778195000,785840000,744598000,688283000,637582000,580839000,1027849000,883213000,716613000,541384000,1102077000,444662000,250402000
508,Amount for infirm dependants age 18 or older,$,2010,45434000,1023000,950000,1588000,2655000,3297000,3413000,3311000,3348000,3151000,2934000,2447000,2218000,3415000,2777000,2044000,1499000,3395000,1293000,673000
509,CPP or QPP contributions through employment,$,2010,20643314000,42323000,138174000,345347000,558022000,789336000,1000890000,1284871000,1537446000,1644091000,1640709000,1504860000,1336938000,2205020000,1748402000,1318015000,936514000,1751533000,593025000,267798000
510,CPP or QPP contributions self-employment,$,2010,1204478000,2300000,34328000,86159000,97003000,97705000,92081000,84870000,79559000,77709000,66586000,55302000,45049000,69416000,50707000,38697000,29751000,82767000,61616000,52872000
511,Employment Insurance premiums,$,2010,7047375000,55550000,101548000,169973000,235807000,308634000,375069000,463548000,542927000,573483000,540467000,485100000,431608000,707569000,560175000,423273000,299790000,540177000,168198000,64479000
512,Employment Insurance premiums payable on self-employment,$,2010,1164000,5000,28000,76000,99000,118000,100000,97000,104000,105000,76000,64000,58000,81000,45000,36000,23000,34000,13000,0
513,PPIP premiums paid,$,2010,603454000,3632000,7491000,13172000,19453000,26011000,33289000,43150000,49288000,47190000,45711000,43141000,40231000,68714000,52203000,31907000,21288000,39675000,12111000,5798000
514,PPIP premiums payable on employment income,$,2010,18901000,53000,143000,254000,335000,404000,494000,631000,780000,1009000,1225000,1417000,1507000,2591000,2085000,1611000,1260000,2307000,636000,158000
515,PPIP premiums payable on self-employment income,$,2010,38313000,292000,1435000,3161000,3350000,2989000,2491000,2066000,1809000,1732000,1492000,1402000,1260000,2147000,1613000,1267000,1013000,3154000,2968000,2672000
516,Canada employment amount,$,2010,17291382000,800169000,1100578000,1196386000,1178976000,1185986000,1162023000,1187196000,1175042000,1090125000,957882000,837912000,730644000,1188407000,923760000,688808000,486895000,921961000,323147000,155485000
517,Public transit amount,$,2010,1212713000,37322000,46829000,66983000,77366000,84869000,83423000,83381000,85476000,80578000,73745000,64658000,57795000,91434000,71940000,54783000,40740000,77994000,23935000,9462000
518,Children's fitness amount,$,2010,840976000,9879000,8064000,13768000,19066000,24069000,28463000,33840000,38781000,41461000,42326000,42432000,41101000,79350000,77620000,70186000,57167000,123492000,56016000,33894000
519,Home buyers' amount,$,2010,833631000,6799000,5715000,11188000,21674000,35050000,50966000,66697000,76781000,78335000,74629000,69228000,61047000,96774000,63844000,38906000,24865000,38748000,9877000,2511000
520,Adoption expenses,$,2010,19016000,69000,134000,204000,282000,389000,552000,705000,837000,1030000,1111000,1056000,1118000,2279000,1841000,1570000,1250000,2593000,1145000,810000
521,Pension income amount,$,2010,8402793000,38228000,106988000,324559000,878588000,1083530000,867775000,843072000,743485000,708130000,509953000,399237000,322794000,499018000,307579000,200975000,130566000,269005000,110043000,59270000
522,Caregiver amount,$,2010,854778000,15468000,14447000,23416000,39616000,54144000,61866000,67958000,69685000,66602000,60079000,49850000,44527000,69784000,54430000,43756000,31016000,61363000,19286000,7486000
523,Disability amount,$,2010,4440238000,212933000,360367000,709574000,618067000,531440000,416508000,350599000,275250000,218512000,158586000,118176000,89608000,128730000,74107000,47912000,30399000,58315000,25330000,15824000
524,Disability amount transferred from a dependant,$,2010,1934534000,57189000,44716000,69089000,85353000,97144000,110607000,127717000,136568000,135871000,123545000,111756000,99942000,169269000,137962000,109602000,79830000,154849000,56707000,26818000
525,Interest paid on student loans,$,2010,302329000,1873000,1830000,6336000,14636000,20407000,24770000,28309000,29107000,27642000,24710000,22481000,19587000,32002000,19636000,11115000,6011000,9016000,2240000,620000
526,"Tuition, education, and textbook amounts",$,2010,7590275000,659000,2443000,278712000,1080274000,1170150000,1008168000,813923000,646308000,511664000,400894000,318814000,273001000,384827000,220685000,143929000,96790000,171062000,50879000,17094000
527,"Tuition, education, and textbook amounts transferred from a child",$,2010,3485185000,2195000,2221000,7673000,38045000,80474000,112589000,147727000,179412000,190771000,192676000,185069000,177727000,332884000,328734000,290556000,243442000,558328000,254913000,159747000
528,Amounts transferred from spouse or common-law partner,$,2010,5353236000,683822000,334232000,783531000,787588000,666119000,482499000,351983000,249775000,178878000,135985000,107689000,89173000,137473000,97396000,70988000,50063000,96817000,33729000,15494000
529,Allowable portion of medical expenses,$,2010,9885811000,98416000,146945000,390084000,919153000,1094579000,1021645000,993986000,867738000,780738000,574069000,445685000,354894000,541931000,343628000,233374000,165612000,420349000,250017000,242967000
530,Total tax credits on personal amounts,$,2010,63791765000,4883937000,4025638000,5746474000,6392322000,5121076000,4362815000,4216146000,3933337000,3594464000,3008492000,2563968000,2190075000,3516405000,2634930000,1947283000,1379545000,2701662000,1026008000,547190000
531,Allowable charitable donations and government gifts,$,2010,8909692000,3697000,11057000,58004000,112436000,192115000,252858000,322444000,359012000,379621000,361398000,346682000,327828000,626104000,537172000,472616000,381150000,1047930000,774728000,2342840000
532,Eligible cultural and ecological gifts,$,2010,51709000,35000,1028000,125000,497000,323000,399000,412000,579000,681000,645000,823000,909000,1768000,1729000,2033000,1393000,4304000,6304000,27718000
533,Total tax credit on donations and gifts,$,2010,2459817000,636000,2304000,8421000,27593000,49263000,66251000,85375000,95804000,101802000,97302000,93673000,88763000,170578000,146937000,129125000,104945000,292099000,220502000,678445000
534,Total federal non-refundable tax credits,$,2010,66251582000,4884573000,4027942000,5754894000,6419916000,5170339000,4429066000,4301521000,4029141000,3696266000,3105794000,2657641000,2278838000,3686983000,2781867000,2076408000,1484490000,2993760000,1246510000,1225634000
535,Federal dividend tax credit,$,2010,7072377000,32000,69000,4314000,16447000,37617000,61622000,90064000,123784000,158862000,163653000,185954000,172260000,375249000,340523000,308706000,258491000,968642000,953612000,2852475000
536,Overseas employment tax credit,$,2010,77241000,0,0,0,11000,22000,57000,106000,247000,356000,563000,690000,793000,2139000,3044000,3553000,3903000,24013000,27588000,10154000
537,Minimum tax carryover,$,2010,105828000,0,0,82000,453000,1030000,1711000,2500000,2973000,3692000,3843000,4108000,3922000,8024000,5938000,5068000,4255000,14357000,13551000,30318000
538,Basic federal tax,$,2010,110847125000,9906000,12005000,103868000,537594000,1232346000,1996051000,2900063000,3659854000,4228798000,4409590000,4584039000,4645747000,9234416000,8698552000,7670662000,6305007000,16919593000,11608571000,22090464000
539,Federal foreign tax credit,$,2010,769583000,37000,81000,362000,1291000,2444000,3771000,5153000,6731000,8329000,9800000,10963000,11725000,26834000,28916000,29159000,27486000,111196000,129172000,356133000
540,Federal political contribution tax credit,$,2010,22457000,0,0,45000,162000,452000,664000,903000,1062000,1251000,1157000,1118000,1071000,2087000,1686000,1411000,1137000,3222000,2327000,2700000
541,Investment tax credit,$,2010,110449000,0,0,60000,292000,504000,668000,876000,990000,1202000,1135000,1308000,1242000,2566000,2470000,2416000,2424000,9952000,13647000,68697000
542,Labour-sponsored funds tax credit,$,2010,129722000,1000,-2816000,60000,505000,1494000,2487000,5767000,8679000,9467000,10890000,10666000,10521000,18683000,15954000,10926000,7741000,14184000,3498000,1016000
543,Alternative minimum tax payable,$,2010,172737000,1004000,53000,52000,28000,223000,64000,84000,107000,227000,120000,150000,209000,681000,1227000,2408000,3214000,21329000,34125000,107433000
544,Net federal tax,$,2010,109877247000,5239000,11404000,103690000,536143000,1228373000,1988948000,2888503000,3643513000,4209744000,4387857000,4561174000,4622317000,9186386000,8651854000,7628962000,6268424000,16790292000,11467788000,21696635000
545,CPP contributions payable on self-employment and other earnings,$,2010,1846141000,3121000,54123000,129931000,143628000,147694000,142832000,134717000,127837000,125088000,107414000,88428000,71887000,109626000,79353000,60018000,45620000,122354000,82927000,69545000
546,Employment Insurance premiums payable on self-employment,$,2010,1164000,5000,28000,76000,99000,118000,100000,97000,104000,105000,76000,64000,58000,81000,45000,36000,23000,34000,13000,0
547,Social benefits repayment,$,2010,1208671000,0,0,0,0,0,0,0,0,0,1000,389000,14929000,71924000,105324000,122104000,113178000,396299000,231801000,152708000
548,Net provincial or territorial tax,$,2010,46934975000,1202000,3750000,26551000,157888000,479427000,831881000,1155374000,1450256000,1758425000,1812223000,1875416000,1882258000,3708984000,3501289000,3229017000,2721592000,7495025000,5152178000,9692238000
549,Total tax payable,$,2010,159873023000,9575000,69306000,260252000,837779000,1855679000,2963864000,4178849000,5221941000,6093591000,6307899000,6525841000,6591838000,13077886000,12338507000,11040725000,9149216000,24804381000,16934766000,31611129000
550,Number of taxable returns,$,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
551,Number of non-taxable returns,$,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
552,Total number of returns,$,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
553,Employment income,$,2009,665992470000,2206479000,6694556000,11025350000,15295189000,19788781000,24468076000,30651075000,35744431000,37260130000,37052823000,36314382000,34212021000,63146476000,56642649000,48286969000,35799548000,81494598000,40324281000,49584659000
554,Commissions (from employment),$,2009,11599032000,9643000,19378000,44020000,73391000,111509000,148063000,195095000,240373000,285993000,314139000,340353000,357169000,726821000,682348000,626221000,564881000,2077828000,1916034000,2865774000
555,Other employment income,$,2009,10944075000,125102000,320006000,380203000,370132000,436582000,471812000,504153000,489998000,466323000,426912000,381593000,332254000,601817000,487203000,393301000,315482000,1034798000,905135000,2501269000
556,Old Age Security pension,$,2009,25462625000,69390000,695880000,2839888000,5845872000,3483832000,2331473000,2068806000,1650511000,1420410000,976453000,746762000,594833000,926696000,519718000,321046000,201174000,427972000,205298000,136612000
557,CPP or QPP benefits,$,2009,37713426000,264141000,1166780000,2848531000,6089130000,4892814000,3700365000,3409110000,2888990000,2527107000,1868177000,1467430000,1170914000,1753357000,1022560000,641987000,412259000,883546000,419711000,286518000
558,Other pensions or superannuation,$,2009,67750972000,48960000,118070000,388565000,1404500000,3075937000,4007918000,5155289000,5808313000,6285641000,5657529000,5007902000,4386617000,7059749000,4615248000,3089371000,2099355000,4907319000,2562239000,2072451000
559,Elected split-pension amount,$,2009,10225654000,30337000,128903000,539618000,1036170000,1072394000,1031756000,1262340000,1123997000,1253238000,513535000,321528000,287797000,646364000,355970000,231938000,97021000,214230000,56816000,21704000
560,Universal Child Care Benefit,$,2009,2518165000,603158000,253573000,274858000,223367000,186750000,166807000,150750000,131104000,107578000,86537000,69763000,54059000,76402000,48985000,32288000,17103000,25576000,7382000,2126000
561,Employment Insurance benefits,$,2009,20133198000,108774000,543719000,1494602000,2360299000,2828612000,2901991000,2473513000,1927323000,1443986000,1059513000,780235000,563700000,722702000,400826000,210651000,113991000,154967000,35365000,8429000
562,Taxable amount of dividends,$,2009,46484535000,66928000,81806000,159629000,285725000,401749000,539831000,700140000,928739000,1128641000,1124263000,1233114000,1119344000,2361045000,2126335000,1894084000,1585324000,5974364000,5756530000,19016943000
563,Interest and other investment income,$,2009,18657773000,252793000,332665000,559353000,972816000,1087125000,999930000,1033164000,1000177000,1002113000,816713000,718605000,647906000,1172782000,888768000,704825000,546244000,1610411000,1277401000,3033983000
564,Net partnership income,$,2009,191495000,-50580000,178000,-1033000,472000,511000,1695000,1466000,2005000,4035000,2266000,1972000,3273000,7545000,8026000,6937000,5787000,24188000,37774000,134977000
565,RDSP income,$,2009,364000,0,0,7000,7000,29000,40000,0,9000,89000,0,0,0,0,0,0,0,0,0,0
566,Net rental income,$,2009,3950780000,-150266000,83211000,136041000,170124000,191533000,169701000,173794000,163033000,166125000,147815000,135438000,126073000,230981000,189767000,161504000,140086000,439866000,385718000,890234000
567,Taxable capital gains,$,2009,12580594000,57609000,57605000,89272000,110781000,134261000,148394000,167292000,188552000,205880000,209705000,210923000,213341000,459105000,419440000,402948000,368200000,1393814000,1678964000,6064508000
568,Support payments received,$,2009,1061221000,7860000,26590000,52308000,70633000,82037000,75264000,72569000,70562000,60727000,56748000,51317000,43456000,76418000,57460000,41720000,36122000,100087000,49477000,29867000
569,Registered Retirement Savings Plan income,$,2009,11512284000,109439000,187915000,338679000,466140000,586226000,630045000,710049000,745518000,757075000,663587000,604898000,559531000,970868000,734550000,565723000,437636000,1149460000,664392000,630554000
570,Other income,$,2009,21130689000,260584000,609217000,769690000,735149000,710863000,696398000,729227000,759325000,767011000,672948000,616703000,569602000,1058040000,931344000,822119000,732239000,2709389000,2700441000,4280400000
571,Net business income,$,2009,23828395000,-727671000,1095269000,2058329000,2050127000,1889849000,1693360000,1494033000,1336997000,1228620000,1038353000,916480000,804432000,1378867000,1071150000,864323000,668132000,1949741000,1278977000,1739027000
572,Net professional income,$,2009,20173415000,-22479000,82719000,155029000,172805000,180991000,188915000,187681000,193023000,203022000,206378000,203918000,208528000,431675000,437187000,439708000,441610000,2223813000,4035109000,10203785000
573,Net commission income,$,2009,3677419000,-15570000,70212000,123731000,140099000,143621000,145243000,145257000,145235000,148187000,137439000,136622000,130910000,250264000,223716000,208549000,170590000,594658000,447802000,330856000
574,Net farming income,$,2009,1645308000,-426240000,27909000,94409000,81538000,94165000,93531000,111632000,105967000,140150000,90351000,80896000,74303000,138156000,111548000,96522000,74030000,237108000,197121000,222212000
575,Net fishing income,$,2009,322387000,-12108000,-180000,4043000,14578000,25923000,30182000,32718000,34164000,29840000,23600000,17764000,17025000,25357000,15861000,11975000,7371000,19332000,12515000,12425000
576,Workers' compensation benefits,$,2009,5437791000,20532000,66567000,200825000,370977000,568236000,634567000,623747000,574135000,484980000,411206000,298198000,236764000,318516000,185201000,117484000,78475000,152686000,64037000,30658000
577,Social assistance payments,$,2009,10024217000,302127000,2655249000,4367440000,1451670000,700008000,261867000,116113000,63275000,35633000,23280000,13958000,8951000,9371000,5221000,3096000,1780000,3182000,1140000,854000
578,Net federal supplements,$,2009,8115507000,64876000,386551000,2865484000,3781883000,675190000,179370000,73098000,35106000,16731000,9760000,5917000,4511000,5765000,3011000,1679000,1295000,2882000,1421000,978000
579,Total income assessed,$,2009,1041133791000,3203816000,15704348000,31808871000,43573575000,43349526000,45716592000,52242144000,56350861000,57429267000,53590072000,50676696000,46727316000,84555182000,72184091000,60176969000,44915735000,109805814000,65021114000,104101802000
580,Registered pension plan contributions,$,2009,14936813000,7570000,11017000,27083000,53421000,102916000,186368000,347311000,545624000,695930000,815532000,915352000,949536000,1932845000,1968351000,1943566000,1311976000,2220675000,645173000,256569000
581,Registered Retirement Savings Plan deduction,$,2009,33335823000,31062000,44462000,108030000,244943000,410569000,609299000,860043000,1127732000,1328266000,1471496000,1532310000,1489051000,2908367000,2769310000,2516605000,2173389000,6630780000,4244122000,2835985000
582,Saskatchewan Pension Plan deduction,$,2009,5810000,144000,184000,321000,364000,404000,461000,442000,519000,450000,385000,337000,251000,433000,335000,239000,150000,272000,89000,29000
583,Deduction for elected split-pension amount,$,2009,10223327000,737000,2122000,5961000,26941000,154023000,354009000,509159000,658986000,786476000,890150000,902664000,837479000,1312031000,886519000,605258000,447643000,1095105000,508177000,239886000
584,"Annual union, professional, or like dues",$,2009,3585411000,22252000,29448000,41878000,54545000,76098000,107174000,154255000,204214000,226771000,244150000,256994000,252584000,476742000,432239000,355655000,218983000,329902000,78074000,23453000
585,Universal Child Care Benefit repayment,$,2009,6483000,1969000,938000,1029000,631000,359000,266000,247000,212000,151000,102000,128000,86000,124000,73000,73000,25000,61000,6000,1000
586,Child care expenses,$,2009,3967624000,29243000,77201000,136780000,201239000,256242000,303080000,341799000,347965000,322093000,289995000,254699000,216676000,343524000,253046000,187553000,114677000,196618000,68724000,26472000
587,Disability supports deductions,$,2009,6814000,33000,95000,174000,315000,438000,309000,367000,419000,263000,322000,194000,203000,431000,311000,430000,185000,908000,395000,1023000
588,Business investment loss,$,2009,326529000,9693000,6458000,7624000,10107000,10167000,11281000,13855000,9529000,13448000,11707000,10356000,10659000,18274000,18169000,14360000,13453000,40824000,33267000,63298000
589,Moving expenses,$,2009,430792000,3653000,6352000,9411000,13293000,16327000,20058000,20134000,21048000,22238000,21943000,22734000,22335000,41263000,37508000,31361000,25153000,57974000,26612000,11396000
590,Support payments made,$,2009,1037257000,3006000,2103000,3884000,5834000,9443000,13726000,17919000,22308000,24414000,26562000,29155000,27263000,56633000,58463000,57044000,52548000,183085000,169092000,274774000
591,Carrying charges and interest expenses,$,2009,4079714000,36065000,29511000,45907000,81267000,88801000,100952000,110408000,124487000,135080000,132176000,129354000,121697000,239713000,222812000,193115000,164690000,527445000,467563000,1128672000
592,Deductions for CPP or QPP contributions on self-employment and other earnings,$,2009,1187028000,2752000,33916000,85395000,97173000,96596000,91848000,85267000,79815000,76583000,64834000,53058000,43159000,67843000,48943000,37383000,28053000,80835000,60603000,52972000
593,Deduction for PPIP premiums on self-employment income,$,2009,27718000,215000,1070000,2292000,2456000,2161000,1810000,1501000,1327000,1213000,1084000,981000,905000,1532000,1133000,890000,692000,2277000,2199000,1981000
594,Exploration and development expenses,$,2009,1123574000,1947000,787000,986000,1251000,1823000,2921000,4514000,4378000,5369000,6581000,7958000,8698000,19381000,21631000,23691000,21678000,105020000,152888000,732071000
595,Other employment expenses,$,2009,4015578000,6593000,9433000,21575000,44508000,72858000,102671000,134646000,161306000,187330000,204860000,211261000,211530000,395903000,330886000,275459000,232186000,669645000,409949000,332977000
596,Clergy residence deduction,$,2009,352059000,183000,541000,1538000,3389000,6483000,12406000,18560000,21169000,26913000,29588000,33820000,34270000,59081000,40124000,23282000,14498000,20730000,4607000,876000
597,Other deductions,$,2009,1842743000,33088000,19661000,33027000,45387000,53213000,57038000,57855000,57668000,51216000,47495000,45066000,39571000,71609000,62364000,56219000,54203000,208816000,265918000,583331000
598,Total deductions before adjustments,$,2009,80491096000,190203000,275298000,532894000,887065000,1358922000,1975675000,2678282000,3388706000,3904205000,4258962000,4406422000,4265951000,7945730000,7152218000,6322181000,4874180000,12370974000,7137462000,6565767000
599,Social benefits repayment,$,2009,1060172000,0,0,0,0,0,0,0,0,0,0,1528000,19437000,73309000,97850000,105651000,96438000,336514000,197238000,132207000
600,Net income after adjustments,$,2009,961034413000,4264583000,15443416000,31288357000,42709833000,41997735000,43749606000,49575116000,52969191000,53531124000,49335422000,46273689000,42445407000,76543130000,64941294000,53752639000,39948440000,97110366000,57704147000,97450915000
601,Canadian Forces personnel and police deduction,$,2009,260346000,9000,8000,27000,42000,199000,369000,803000,1477000,4196000,6400000,20012000,24668000,62212000,48100000,31827000,21399000,33950000,4068000,579000
602,Employee home relocation loan deduction,$,2009,456000,0,1000,3000,1000,1000,0,1000,2000,2000,3000,30000,3000,22000,19000,24000,33000,140000,120000,50000
603,Security options deductions,$,2009,1546229000,682000,127000,254000,322000,366000,560000,660000,824000,1027000,1163000,1250000,1524000,3616000,4582000,4768000,6639000,44127000,100998000,1372631000
604,Other payments deductions,$,2009,23574432000,387536000,3108369000,7433756000,5604545000,1943445000,1075807000,812959000,672516000,537423000,444246000,318073000,250227000,333652000,193396000,122163000,81434000,157710000,65493000,31682000
605,Limited partnership losses of other years,$,2009,54721000,5000,7000,8000,7000,23000,19000,33000,71000,130000,128000,173000,113000,288000,247000,146000,245000,1157000,2077000,49821000
606,Non-capital losses of other years,$,2009,332440000,9711000,4954000,10257000,17093000,19969000,18957000,18559000,15352000,14282000,12648000,9970000,8733000,14202000,9578000,9173000,6294000,20784000,19598000,92323000
607,Net capital losses of other years,$,2009,996514000,1703000,3920000,6433000,10327000,15005000,17269000,19996000,22635000,25263000,25269000,26994000,27197000,53341000,47750000,42860000,41109000,146579000,141966000,320897000
608,Capital gains deduction,$,2009,3312170000,1307000,1018000,2083000,4110000,6692000,11356000,15797000,19894000,23365000,29259000,33025000,37211000,97176000,87184000,91717000,86939000,374626000,646613000,1742798000
609,Northern residents deductions,$,2009,845110000,1206000,4837000,15848000,32850000,38714000,41390000,41556000,41366000,41402000,39649000,39240000,38487000,71966000,69839000,66781000,56878000,137435000,56255000,9412000
610,Additional deductions,$,2009,1055470000,14677000,21659000,63508000,100765000,100480000,82127000,75013000,64634000,54141000,43604000,27754000,27860000,42384000,30853000,24199000,19990000,76564000,86113000,99146000
611,Farming/fishing losses of prior years,$,2009,106386000,1579000,754000,2037000,3744000,5653000,6456000,5982000,6261000,5442000,4660000,4341000,4873000,7668000,5554000,4548000,3536000,11430000,9156000,12709000
612,Total deductions from net income,$,2009,32135265000,419029000,3147154000,7536217000,5775634000,2132720000,1256028000,993302000,846787000,707907000,608481000,482577000,422013000,688558000,499159000,399993000,325974000,1011293000,1140839000,3741600000
613,Taxable income assessed,$,2009,929005489000,3882157000,12305693000,23766899000,36945807000,39869031000,42496283000,48584282000,52124799000,52824635000,48728323000,45792177000,42024507000,75856037000,64443643000,53353713000,39623697000,96103402000,56567503000,93712901000
614,Basic personal amount,$,2009,263923957000,27279313000,20996266000,26193349000,25706182000,19926003000,17130549000,16573163000,15509161000,13965285000,11648630000,9964117000,8389757000,13463959000,9964543000,7320732000,4891869000,9529142000,3598551000,1873384000
615,Age amount,$,2009,26536628000,667408000,1207748000,3871888000,6595813000,3845111000,2609335000,2282714000,1702289000,1316803000,827621000,561961000,382945000,423804000,142287000,48095000,19595000,21008000,6932000,3270000
616,Spouse or common-law partner amount,$,2009,14330781000,1030225000,785795000,1196240000,1319690000,1174838000,958328000,868568000,784381000,680037000,595739000,530272000,468692000,808957000,670964000,535424000,402623000,904580000,396179000,219249000
617,Amount for eligible dependant,$,2009,9450550000,700007000,807746000,1169412000,1019455000,843484000,722667000,671552000,606729000,501672000,410110000,336842000,275134000,422212000,306670000,221779000,132983000,213809000,62658000,25628000
618,Amount for children 17 and under,$,2009,13469918000,707631000,550100000,796240000,821080000,798292000,779300000,801621000,802615000,752179000,688961000,639138000,577172000,1018026000,861611000,701522000,496543000,1021695000,417502000,238690000
619,Amount for infirm dependants age 18 or older,$,2009,43985000,868000,854000,1525000,2582000,3287000,3319000,3236000,3332000,2978000,2505000,2530000,2078000,3629000,2567000,2096000,1398000,3203000,1328000,669000
620,CPP or QPP contributions through employment,$,2009,20412403000,70315000,182670000,379082000,588107000,805668000,1032505000,1327329000,1575904000,1661938000,1635647000,1494230000,1300178000,2144544000,1679441000,1269539000,853282000,1608694000,552179000,251153000
621,CPP or QPP contributions self-employment,$,2009,1187028000,2752000,33916000,85395000,97173000,96596000,91848000,85267000,79815000,76583000,64834000,53058000,43159000,67843000,48943000,37383000,28053000,80835000,60603000,52972000
622,Employment Insurance premiums,$,2009,6880480000,55945000,105102000,170433000,236981000,306159000,379310000,473550000,552557000,573758000,532791000,479422000,417717000,684277000,534622000,405750000,270255000,489768000,154106000,57977000
623,Provincial Parental Insurance Plan (PPIP) premiums paid,$,2009,561015000,3409000,7367000,12599000,18818000,24924000,32262000,41408000,46808000,44205000,42591000,40400000,37032000,63861000,47363000,28817000,19032000,34268000,10835000,5015000
624,PPIP premiums payable on employment income,$,2009,17878000,53000,141000,239000,323000,401000,502000,650000,790000,915000,1103000,1325000,1392000,2593000,1962000,1537000,1165000,2103000,536000,148000
625,PPIP premiums payable on self-employment income,$,2009,35695000,279000,1377000,2952000,3164000,2784000,2331000,1933000,1710000,1562000,1397000,1264000,1165000,1972000,1459000,1145000,891000,2931000,2830000,2549000
626,Canada employment amount,$,2009,17129889000,837731000,1132083000,1191715000,1179931000,1180227000,1172982000,1202389000,1185277000,1083283000,949307000,832781000,713381000,1160498000,891567000,666510000,447352000,853014000,303378000,146481000
627,Public transit amount,$,2009,1113522000,33381000,43990000,61856000,72709000,77418000,78581000,79889000,80820000,75435000,67733000,60347000,52376000,83739000,64424000,48607000,35658000,68046000,20784000,7728000
628,Children's fitness amount,$,2009,792418000,7846000,6959000,12019000,17934000,22895000,27563000,33403000,38163000,40324000,40763000,41106000,39642000,76978000,74025000,67541000,50544000,112006000,51695000,31014000
629,Home renovation expenses,$,2009,15439874000,41386000,45836000,124262000,296400000,480478000,629131000,793018000,906886000,961026000,941999000,917119000,861520000,1592294000,1382806000,1161684000,863154000,1963655000,910348000,566871000
630,Home buyers' amount,$,2009,935502000,6520000,5811000,12369000,24843000,41291000,58639000,77216000,87635000,90254000,84671000,78518000,69251000,107116000,70770000,44416000,25411000,38437000,9398000,2935000
631,Adoption expenses,$,2009,20161000,109000,127000,198000,267000,485000,625000,792000,938000,1027000,1071000,1144000,1067000,2273000,1947000,1637000,1184000,3046000,1454000,770000
632,Pension income amount,$,2009,8167064000,38189000,106823000,325851000,857422000,1078562000,864714000,832307000,728824000,677791000,487532000,379538000,306926000,467299000,285065000,185286000,121315000,257819000,111240000,54563000
